"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2017","49,144.96","48,882.27","49,145.91","48,741.05","171.83M","0.55%"
"Apr 19, 2017","48,873.84","48,765.55","48,975.44","48,727.68","168.76M","0.23%"
"Apr 18, 2017","48,762.53","49,010.22","49,012.59","48,335.98","124.84M","-0.51%"
"Apr 17, 2017","49,011.56","48,969.04","49,222.96","48,844.01","115.73M","0.11%"
"Apr 12, 2017","48,955.82","49,607.29","49,661.08","48,871.89","129.96M","-1.37%"
"Apr 11, 2017","49,637.93","49,540.76","49,753.57","49,102.80","115.48M","0.20%"
"Apr 10, 2017","49,540.26","49,339.65","49,590.85","49,163.31","84.46M","0.40%"
"Apr 07, 2017","49,343.64","49,012.22","49,393.25","48,887.08","120.46M","0.68%"
"Apr 06, 2017","49,012.42","49,207.77","49,313.73","48,838.85","136.58M","-0.40%"
"Apr 05, 2017","49,207.61","49,339.24","49,560.90","49,118.21","221.54M","-0.27%"
"Apr 04, 2017","49,342.77","48,799.09","49,342.80","48,791.43","194.46M","1.07%"
"Apr 03, 2017","48,819.07","48,549.23","49,008.81","48,461.27","112.93M","0.57%"
"Mar 31, 2017","48,541.56","48,863.13","48,925.44","48,541.56","250.13M","-0.66%"
"Mar 30, 2017","48,863.30","49,032.09","49,068.48","48,719.63","146.15M","-0.35%"
"Mar 29, 2017","49,036.52","49,335.81","49,335.81","48,941.48","189.36M","-0.61%"
"Mar 28, 2017","49,339.24","49,310.77","49,523.94","49,194.72","167.51M","0.05%"
"Mar 27, 2017","49,312.99","49,082.89","49,312.99","48,743.81","181.24M","0.47%"
"Mar 24, 2017","49,083.85","48,675.19","49,105.31","48,595.08","185.41M","0.84%"
"Mar 23, 2017","48,676.91","48,481.15","48,898.32","48,437.00","179.10M","0.39%"
"Mar 22, 2017","48,487.30","48,592.26","48,612.61","48,201.81","191.06M","-0.21%"
"Mar 21, 2017","48,589.05","48,593.64","49,240.09","48,422.84","257.46M","-0.01%"
"Mar 17, 2017","48,593.44","48,066.82","48,626.12","47,924.89","476.57M","1.12%"
"Mar 16, 2017","48,056.56","47,496.00","48,333.61","47,333.79","241.30M","1.23%"
"Mar 15, 2017","47,470.31","47,087.77","47,583.60","46,905.53","183.17M","0.81%"
"Mar 14, 2017","47,087.97","47,095.78","47,181.23","46,597.58","203.72M","-0.03%"
"Mar 13, 2017","47,101.14","47,093.31","47,288.75","46,965.88","135.74M","-0.00%"
"Mar 10, 2017","47,102.31","47,262.91","47,481.69","47,026.37","139.49M","-0.34%"
"Mar 09, 2017","47,263.92","47,538.82","47,563.37","47,072.57","163.12M","-0.58%"
"Mar 08, 2017","47,539.22","47,410.19","47,688.77","47,298.72","136.13M","0.25%"
"Mar 07, 2017","47,419.16","47,883.99","47,886.24","47,406.29","175.52M","-0.97%"
"Mar 06, 2017","47,883.59","47,407.29","47,891.33","46,995.61","148.82M","0.99%"
"Mar 03, 2017","47,414.57","47,292.30","47,574.47","47,001.99","121.34M","0.27%"
"Mar 02, 2017","47,288.66","47,458.69","47,513.90","46,960.25","184.59M","-0.35%"
"Mar 01, 2017","47,454.15","46,853.67","47,564.35","46,853.67","180.69M","1.27%"
"Feb 28, 2017","46,856.79","47,352.45","47,378.09","46,692.47","260.12M","-1.04%"
"Feb 27, 2017","47,349.20","47,040.95","47,464.25","46,859.57","186.76M","0.64%"
"Feb 24, 2017","47,047.67","47,215.56","47,215.56","46,587.93","188.68M","-0.34%"
"Feb 23, 2017","47,206.36","47,197.19","47,482.61","46,842.46","238.22M","0.02%"
"Feb 22, 2017","47,195.68","47,614.69","47,654.64","47,194.58","176.39M","-0.88%"
"Feb 21, 2017","47,614.99","47,089.12","47,638.52","47,089.12","214.10M","1.13%"
"Feb 20, 2017","47,083.81","47,159.16","47,612.29","47,046.40","33.29M","-0.17%"
"Feb 17, 2017","47,164.71","47,303.05","47,386.17","47,005.42","138.80M","-0.27%"
"Feb 16, 2017","47,293.85","47,165.68","47,444.27","47,121.18","187.27M","0.28%"
"Feb 15, 2017","47,161.74","47,392.44","47,467.14","47,059.68","197.14M","-0.48%"
"Feb 14, 2017","47,391.24","47,650.24","47,687.13","47,279.43","181.71M","-0.57%"
"Feb 13, 2017","47,661.69","47,798.38","47,904.73","47,391.48","179.42M","-0.28%"
"Feb 10, 2017","47,797.04","47,222.94","48,115.98","47,123.03","190.94M","1.20%"
"Feb 09, 2017","47,232.17","46,907.01","47,461.60","46,850.09","227.89M","0.66%"
"Feb 08, 2017","46,921.71","46,767.22","46,985.23","46,639.21","216.44M","0.41%"
"Feb 07, 2017","46,728.95","47,228.04","47,258.29","46,614.38","310.76M","-1.05%"
"Feb 03, 2017","47,225.10","47,097.51","47,228.65","46,801.77","256.74M","0.28%"
"Feb 02, 2017","47,095.07","47,019.85","47,111.78","46,909.31","212.00M","0.18%"
"Feb 01, 2017","47,009.51","47,001.97","47,225.23","46,780.03","176.07M","0.02%"
"Jan 31, 2017","47,001.06","47,131.23","47,243.07","46,928.48","221.91M","-0.19%"
"Jan 30, 2017","47,091.82","47,611.44","47,611.44","46,761.50","162.26M","-0.69%"
"Jan 27, 2017","47,421.12","47,632.58","47,695.48","47,192.03","148.80M","-0.40%"
"Jan 26, 2017","47,611.44","48,280.47","48,284.31","47,372.48","194.37M","-1.38%"
"Jan 25, 2017","48,275.83","48,152.63","48,632.51","47,870.87","223.35M","0.26%"
"Jan 24, 2017","48,149.61","47,121.18","48,220.04","47,118.15","322.21M","2.19%"
"Jan 23, 2017","47,116.24","46,325.07","47,141.00","46,170.87","157.62M","1.69%"
"Jan 20, 2017","46,331.60","46,262.54","46,396.22","46,021.58","189.35M","0.14%"
"Jan 19, 2017","46,265.26","46,360.83","46,423.59","46,059.31","161.85M","-0.21%"
"Jan 18, 2017","46,360.63","46,006.60","46,390.22","46,006.60","232.69M","0.78%"
"Jan 17, 2017","46,002.56","45,721.00","46,159.01","45,720.67","239.61M","0.57%"
"Jan 16, 2017","45,740.38","46,184.13","46,229.63","45,714.59","32.01M","-0.96%"
"Jan 13, 2017","46,182.43","46,070.69","46,438.80","46,039.78","197.63M","0.26%"
"Jan 12, 2017","46,060.98","45,935.55","46,265.15","45,805.50","174.52M","0.28%"
"Jan 11, 2017","45,933.65","45,886.18","46,085.78","45,550.10","177.04M","0.10%"
"Jan 10, 2017","45,886.27","45,585.49","45,924.51","45,531.04","221.18M","0.73%"
"Jan 09, 2017","45,553.51","46,072.38","46,153.03","45,314.58","171.81M","-1.12%"
"Jan 06, 2017","46,071.57","46,721.70","46,731.90","46,027.10","207.60M","-1.39%"
"Jan 05, 2017","46,719.99","46,586.03","46,767.37","46,285.88","244.63M","0.28%"
"Jan 04, 2017","46,587.74","46,123.36","46,587.74","46,068.83","222.05M","1.01%"
"Jan 03, 2017","46,123.36","45,698.93","46,444.72","45,690.46","170.04M","0.94%"
"Jan 02, 2017","45,695.10","45,642.80","45,792.46","45,593.26","6.98M","0.11%"
"Dec 30, 2016","45,642.90","45,910.44","45,986.29","45,374.41","83.79M","-0.58%"
"Dec 29, 2016","45,909.31","45,564.52","46,025.65","45,549.39","97.96M","0.76%"
"Dec 28, 2016","45,563.18","45,301.20","45,619.84","45,257.72","88.42M","0.58%"
"Dec 27, 2016","45,299.67","44,989.58","45,329.26","44,938.74","91.02M","0.69%"
"Dec 26, 2016","44,989.58","45,219.35","45,219.35","44,862.45","11.35M","-0.41%"
"Dec 23, 2016","45,173.54","45,016.65","45,263.23","44,922.28","63.95M","0.37%"
"Dec 22, 2016","45,008.08","44,982.43","45,041.42","44,568.27","134.59M","0.06%"
"Dec 21, 2016","44,983.03","44,936.79","45,110.81","44,817.30","143.21M","0.12%"
"Dec 20, 2016","44,930.27","44,894.69","45,266.42","44,761.97","200.34M","0.08%"
"Dec 19, 2016","44,895.29","45,121.19","45,265.78","44,875.68","138.72M","-0.50%"
"Dec 16, 2016","45,121.39","45,871.77","45,937.11","45,099.73","389.44M","-1.64%"
"Dec 15, 2016","45,871.96","46,220.24","46,235.18","45,863.97","207.01M","-0.75%"
"Dec 14, 2016","46,220.54","46,870.64","46,901.53","45,962.66","254.59M","-1.39%"
"Dec 13, 2016","46,870.24","46,916.19","47,241.13","46,370.03","264.70M","-0.09%"
"Dec 09, 2016","46,913.47","46,359.12","46,955.51","46,166.79","249.51M","1.19%"
"Dec 08, 2016","46,360.23","45,611.05","46,365.67","45,532.41","226.09M","1.65%"
"Dec 07, 2016","45,609.90","45,116.35","45,644.43","45,111.86","216.73M","1.12%"
"Dec 06, 2016","45,103.22","44,938.10","45,153.06","44,850.87","261.27M","0.37%"
"Dec 05, 2016","44,937.30","44,782.57","45,085.28","44,753.60","252.83M","0.86%"
"Dec 02, 2016","44,555.26","44,885.75","45,018.28","44,471.84","215.08M","-0.73%"
"Dec 01, 2016","44,884.86","45,314.04","45,567.44","44,865.98","245.54M","-0.95%"
"Nov 30, 2016","45,315.96","45,373.53","45,654.53","45,027.07","636.38M","-0.12%"
"Nov 29, 2016","45,372.19","45,480.97","45,504.71","45,268.88","215.49M","-0.22%"
"Nov 28, 2016","45,470.61","45,360.07","45,514.13","45,127.71","182.06M","0.25%"
"Nov 25, 2016","45,357.85","45,268.39","45,509.94","45,107.33","121.86M","0.20%"
"Nov 24, 2016","45,265.90","45,250.40","45,421.75","45,201.57","43.68M","0.18%"
